Date,Duration,TripDistance_KM,FuelConsumed_L,FuelConsumption_Lper100KM,ElectricityConsumed_KWH,TotalEConsumed_Lper100KMeq,StartSOC,EndSOC,AmbientTemperature_C,AverageSpeed_kmh,MaxSpeed_kmh,AuxiliaryLoad_KW,HardAccel_Percent,HardBraking_Percent,TimeIdle_Percent
September 29 2017 08:21:15 AM,0:10:05,3.85,0,0,1.35,4,62.7,51.8,13,22.89,70,0.72,23,16,24%
September 28 2017 08:40:12 PM,0:06:01,2.47,0,0,0.57,2.6,66.7,62.7,16,24.66,49,0.2,14,4,8%
September 28 2017 06:49:01 PM,0:07:07,2.41,0,0,0.63,2.9,73.3,68.6,16,20.35,52,0.57,16,8,26%
September 28 2017 04:56:55 PM,0:02:20,0.74,0,0,0.13,,80,79.6,17,18.98,46,0.12,44,50,11%
September 28 2017 04:51:09 PM,0:01:39,0.51,0,0,0.2,,81.2,81.2,17,18.69,42,0.29,57,29,15%
September 28 2017 04:24:35 PM,0:23:45,10.55,0,0,1.96,2.1,99.6,82,16,26.64,70,0.25,22,9,18%
September 28 2017 12:39:34 PM,0:08:51,4.85,0,0,0.72,1.7,60,55.3,17,32.9,66,0.11,27,25,11%
September 28 2017 12:25:55 PM,0:04:36,2.8,0,0,0.22,0.9,63.1,61.2,17,36.51,58,0.03,10,14,5%
September 28 2017 08:05:35 AM,0:22:50,11.59,0,0,2.59,2.5,87.1,61.6,12,30.45,60,0.39,18,9,15%
September 27 2017 08:54:10 PM,0:11:54,6.84,0,0,1.27,2.1,23.9,11.4,7,34.48,64,0.46,12,9,9%
September 27 2017 08:48:55 PM,0:01:18,0.25,0,0,0.15,,25.9,25.9,6,11.72,25,0.48,0,0,19%
September 27 2017 07:54:49 PM,0:10:54,6.11,0,0,1.92,3.5,44.3,26.7,8,33.63,63,0.44,15,17,11%
September 27 2017 04:28:36 PM,0:21:45,13.56,0,0,2.99,2.5,63.9,37.6,9,37.41,105,0.38,22,17,25%
September 27 2017 02:31:56 PM,0:10:02,9.47,0,0,1.16,1.4,84.3,71.8,9,56.61,104,0.08,10,16,9%
September 27 2017 09:21:59 AM,0:09:14,4.1,0,0,1.03,2.8,93.3,84.7,8,26.68,71,0.11,18,19,21%
September 27 2017 09:13:59 AM,0:05:24,2.78,0,0,0.72,2.9,98.8,94.1,8,30.88,56,0.38,14,25,9%
September 26 2017 08:50:14 PM,0:03:10,0.76,0,0,0.18,,86.7,85.9,9,14.44,40,0.71,25,33,23%
September 26 2017 08:06:48 PM,0:13:46,2.71,0,0,0.97,4,94.9,87.1,10,11.8,56,1.7,31,25,66%
September 26 2017 07:45:55 PM,0:07:51,2.42,0,0,0.5,2.3,99.6,95.7,11,18.49,53,0.52,18,10,39%
September 26 2017 05:45:40 PM,0:10:45,3.93,0,0,0.45,1.3,65.1,60.8,17,21.95,65,0.35,26,24,33%
September 26 2017 08:16:24 AM,0:10:38,3.83,0,0,1.46,4.3,76.5,65.9,11,21.62,72,1.57,15,22,34%
September 25 2017 09:35:51 PM,0:10:43,2.37,0,0,0.97,4.6,17.6,8.6,9,13.26,52,2.5,18,5,55%
September 25 2017 08:04:51 PM,0:05:56,2.32,0,0,0.49,2.4,27.1,22.4,10,23.43,54,0.49,26,26,19%
September 25 2017 07:52:13 PM,0:09:10,5.74,0,0,0.6,1.2,31.4,28.2,9,37.58,65,0.17,11,21,11%
September 25 2017 06:18:05 PM,0:11:28,5.68,0,0,1.45,2.9,43.1,30.2,11,29.75,69,0.35,23,23,23%
September 25 2017 05:05:58 PM,0:23:44,10.91,0,0,1.64,1.7,54.9,43.9,12,27.57,69,0.21,30,31,24%
September 25 2017 04:01:55 PM,0:22:51,11.2,0,0,1.81,1.8,75.3,57.6,14,29.42,76,0.25,29,32,28%
September 25 2017 08:06:36 AM,0:25:44,10.3,0,0,2.22,2.4,99.6,81.6,11,24.02,67,0.47,19,40,22%
September 24 2017 07:16:38 PM,0:06:17,2.51,0,0,0.57,2.6,63.1,58.8,9,23.96,51,0.44,21,28,15%
September 24 2017 05:14:46 PM,0:06:20,2.42,0,0,0.45,2.1,62.4,60,11,22.92,51,0.26,17,12,17%
September 24 2017 04:01:09 PM,0:15:07,8.55,0,0,0.99,1.3,49.8,42,11,33.93,54,0.05,8,10,6%
September 24 2017 03:30:34 PM,0:14:08,8.24,0,0,1.38,1.9,63.1,51,10,34.99,64,0.17,17,19,9%
September 24 2017 02:03:14 PM,0:05:59,2.41,0,0,0.37,1.7,65.1,62.4,9,24.18,54,0.13,10,29,17%
