year,month,week,net_no,fish_no,fl,wt,sex,mat,scale_age
2001,June,1,12,28,9.2,8.8,F,MG,NA
2001,June,1,12,29,10.4,12.2,F,MG,NA
2001,June,1,12,30,10,10.6,F,MG,NA
2001,June,1,12,31,9.8,10.4,F,MG,NA
2001,June,1,12,32,9.8,10.4,F,MG,NA
2001,June,1,12,33,11.2,16,F,MG,NA
2001,June,1,12,34,9.5,9.2,M,MG,NA
2001,June,1,12,35,10.3,10.6,F,MG,NA
2001,June,1,12,36,10.6,10.9,F,MG,NA
2001,June,1,12,37,10.1,10.7,F,MG,NA
2001,June,1,10,38,11.5,15,F,MG,NA
2001,June,1,10,39,12.3,17.8,F,MG,NA
2001,June,1,10,40,10.9,14.5,F,MG,NA
2001,June,1,10,41,NA,NA,F,MG,NA
2001,June,1,10,42,11.8,17.2,F,MG,NA
2001,June,1,10,43,12,18.7,F,MG,NA
2001,June,1,10,44,12.9,20.9,F,MG,NA
2001,June,1,10,45,12.1,17.1,F,MG,NA
2001,June,1,10,46,11.6,16.3,F,MG,NA
2001,June,1,10,47,12,18.5,F,MG,NA
2001,June,1,10,48,12.5,18.3,F,MG,NA
2001,June,1,10,49,12.4,19.7,F,MG,NA
2001,June,1,10,50,11.9,17.5,F,MG,NA
2001,June,1,10,51,12.8,NA,NA,NA,NA
2001,June,2,1,52,7.1,3.6,NA,IMM,NA
2001,June,2,1,53,7,3.4,F,IMM,NA
2001,June,2,1,54,6.5,3.1,NA,IMM,1
2001,June,2,1,55,6.8,3.1,NA,IMM,NA
2001,June,2,1,56,7,3.4,NA,IMM,NA
2001,June,2,2,57,9.1,9.3,M,MG,NA
2001,June,2,2,58,9.4,9.6,M,MG,NA
2001,June,2,2,59,11.3,15.5,F,MG,NA
2001,June,2,4,60,5.9,2.4,F,IMM,NA
2001,June,2,4,61,5.7,1.6,F,IMM,NA
2001,June,2,2,62,10,10.2,M,MG,NA
2001,June,2,3,63,12.1,20.7,F,MG,NA
2001,June,2,3,64,11.1,15.7,F,MG,NA
2001,June,2,3,65,10.8,15.5,M,MG,NA
2001,June,2,4,66,5.9,1.8,F,IMM,1
2001,June,2,4,67,5.2,1.5,NA,IMM,0
2001,June,2,4,68,5.2,1.6,NA,IMM,1
2001,June,2,4,69,5.3,1.4,NA,IMM,1
2001,June,2,4,70,5.3,1.7,NA,IMM,1
2001,June,2,4,71,5.4,1.7,NA,IMM,0
2001,June,2,1,72,8,4.4,F,MG,NA
2001,June,2,1,73,10.9,14.7,F,MG,NA
2001,June,2,2,74,9.8,10,F,MG,NA
2001,June,2,2,75,9.7,10.2,F,MG,NA
2001,June,2,2,76,9.6,10,F,MG,NA
2001,June,2,2,77,10.4,13.2,F,MG,NA
2001,June,2,2,78,9.8,10.6,F,MG,NA
2001,June,2,2,79,10.3,12,F,MG,NA
2001,June,2,2,80,NA,NA,NA,NA,NA
2001,June,2,2,81,NA,NA,NA,NA,NA
2001,June,2,2,82,9.8,11.8,F,MG,NA
2001,June,2,3,83,11.4,17.1,F,MG,NA
2001,June,2,3,84,11,17.4,F,MG,NA
2001,June,2,6,85,10,10,F,MG,NA
2001,June,2,1,86,NA,NA,NA,NA,NA
2001,June,2,8,87,10.5,12.3,M,MG,NA
2001,June,2,8,88,NA,NA,NA,NA,NA
2001,June,2,7,89,12.6,19.2,F,MG,NA
2001,June,2,7,90,11.6,16,F,MG,NA
2001,June,2,9,91,7.2,3.6,F,IMM,NA
2001,June,2,8,92,11.9,17.9,F,MG,NA
2001,June,2,8,93,11.7,17.2,F,MG,NA
2001,June,2,8,94,11.6,16.4,F,MG,NA
2001,June,2,8,95,8.8,8.1,M,MG,NA
2001,June,2,8,96,9.6,10.1,M,MG,NA
2001,June,2,8,97,9.5,9.2,F,MG,NA
2001,June,2,8,98,9.4,9.2,M,MG,NA
2001,June,2,8,99,10.8,13.2,F,MG,NA
2001,June,2,8,100,10.9,14.4,F,MG,NA
2001,June,2,8,101,11,14.6,F,MG,NA
2001,June,2,8,102,10.2,11.9,F,MG,NA
2001,June,2,8,103,9.8,11.3,F,MG,NA
2001,June,2,8,104,11.1,14.8,F,MG,NA
2001,June,2,8,105,10.2,11.1,M,MG,NA
2001,June,2,8,106,10.3,12.9,M,MG,NA
2001,June,2,8,107,9.9,10.7,M,MG,NA
2001,June,2,8,108,10.4,11.5,M,MG,NA
2001,June,2,8,109,11,15.2,F,MG,NA
2001,June,2,8,110,11.1,14,F,MG,NA
2001,June,2,8,111,10,11.7,F,MG,NA
2001,June,2,8,112,10.3,11.8,M,MG,NA
2001,June,2,8,113,10.3,12,M,MG,NA
2001,June,2,8,114,9.1,8.2,M,MG,NA
2001,June,2,8,115,8.8,7.9,M,MG,NA
2001,June,2,8,116,10.3,12.7,M,MG,NA
2001,June,2,8,117,11.7,16.9,F,MG,NA
2001,June,2,8,118,12,16.8,F,MG,NA
2001,June,2,8,119,9.8,11.2,M,MG,NA
2001,June,2,8,120,10,12.2,F,MG,NA
2001,June,2,8,121,9.4,9.2,M,MG,NA
2001,June,2,8,122,10.3,12,F,MG,NA
2001,June,2,8,123,10.1,11.4,F,MG,NA
2001,June,2,8,124,10,11.9,F,MG,NA
2001,June,2,8,125,9.7,9.7,F,MG,NA
2001,June,2,8,126,10.4,12,F,MG,NA
2001,June,2,8,127,10,11.8,M,MG,NA
2001,June,2,7,128,12.4,21.5,F,MG,NA
2001,June,2,7,129,12.3,21.7,F,MG,NA
2001,June,2,7,130,12.6,20.5,F,MG,NA
2001,June,2,7,131,12.2,21,M,MG,NA
2001,June,2,7,132,12.2,20.1,F,MG,NA
2001,June,2,7,133,12.3,18,F,MG,NA
2001,June,2,7,134,12,19.8,F,MG,NA
2001,June,2,7,135,11.4,18.2,F,MG,NA
2001,June,2,7,136,11.7,19.1,F,MG,NA
2001,June,2,7,137,11.3,16.7,F,MG,NA
2001,June,2,7,138,12.2,20.1,F,MG,NA
2001,June,2,7,139,12.5,20.9,F,MG,NA
2001,June,2,7,140,12.4,22,F,MG,NA
2001,June,2,7,141,11.4,16.9,F,MG,NA
2001,June,2,7,142,11,15.5,F,MG,NA
2001,June,2,7,143,10.8,13.8,F,MG,NA
2001,June,2,7,144,11.7,16.1,F,MG,NA
2001,June,2,7,145,11.3,16.7,F,MG,NA
2001,June,2,7,146,10.7,14,M,MG,NA
2001,June,2,7,147,11.3,19,F,MG,NA
2001,June,2,7,148,11,14.4,F,MG,NA
2001,June,2,7,149,12,17.6,F,MG,NA
2001,June,2,7,150,11.9,19.1,F,MG,NA
